file_path,file_name,file_extension,label,width,height,channels
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-87-t.png,CPH-Asellus sp.-87-t.png,.png,Asellus sp,600,338,3
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-151-t.png,CPH-Asellus sp.-151-t.png,.png,Asellus sp,600,338,3
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-114-t.png,CPH-Asellus sp.-114-t.png,.png,Asellus sp,600,338,3
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-250-t.png,CPH-Asellus sp.-250-t.png,.png,Asellus sp,600,338,3
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-191-t.png,CPH-Asellus sp.-191-t.png,.png,Asellus sp,600,338,3
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-47-t.png,CPH-Asellus sp.-47-t.png,.png,Asellus sp,600,450,3
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-228-t.png,CPH-Asellus sp.-228-t.png,.png,Asellus sp,600,338,3
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-290-t.png,CPH-Asellus sp.-290-t.png,.png,Asellus sp,600,450,3
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-129-t.png,CPH-Asellus sp.-129-t.png,.png,Asellus sp,600,338,3
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-3-t.png,CPH-Asellus sp.-3-t.png,.png,Asellus sp,600,450,3
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-148-t.png,CPH-Asellus sp.-148-t.png,.png,Asellus sp,600,338,3
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-63-t.png,CPH-Asellus sp.-63-t.png,.png,Asellus sp,600,338,3
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-26-t.png,CPH-Asellus sp.-26-t.png,.png,Asellus sp,600,338,3
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-249-t.png,CPH-Asellus sp.-249-t.png,.png,Asellus sp,600,338,3
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-274-t.png,CPH-Asellus sp.-274-t.png,.png,Asellus sp,600,338,3
/Users/saanvimalla/Downloads/macro_project/data/raw/Asellus sp/CPH-Asellus sp.-231-t.png,CPH-Asellus sp.-231-t.png,.png,Asellus sp,600,338,3
